congress,chamber,icpsr,bioname,party_code,post_mean,post_median,post_sd,post_025,post_975,nominate_dim1,nominate_dim2
113,Senate,41307,"CHIESA, Jeffrey Scott",200,1.7564484349591647,1.7590216589685554,0.11906477901913655,1.518148524441277,1.9851666722078913,0.218,0.384
113,Senate,14435,"MARKEY, Edward John",100,-1.39500554192833,-1.3970334043034642,0.146223062583408,-1.6782905179938856,-1.1051459292815085,-0.514,-0.459
113,Senate,41308,"BOOKER, Cory Anthony",100,-1.304420254889151,-1.3089856410235758,0.1636895061132406,-1.6135973958834073,-0.9704334128144695,-0.585,-0.271
113,Senate,41309,"WALSH, John E.",100,-0.5446675366457397,-0.5392735496619332,0.1446162011038478,-0.8446843537157709,-0.27707920750182263,-0.255,0.462
114,House,10713,"CONYERS, John, Jr.",100,-2.4066886656222053,-2.407107538158152,0.08588339942429804,-2.5725986681463855,-2.2363581695649484,-0.658,-0.512
114,House,13035,"RANGEL, Charles B.",100,-2.0828999170845,-2.0847110546791567,0.10011103803771429,-2.2761138754800396,-1.8837313163592526,-0.514,-0.341
114,House,14066,"YOUNG, Donald Edwin",200,0.8443509728959288,0.8442983440621755,0.056658566982778415,0.7342544347323723,0.9548894884829544,0.283,0.022
114,House,14263,"NOLAN, Richard Michael",100,-1.4816975087998674,-1.4813107924859894,0.06993264239807769,-1.6205238135716344,-1.3471026285511172,-0.372,-0.372
114,House,14657,"SENSENBRENNER, Frank James, Jr.",200,1.8409931181482426,1.8421732413884337,0.06656680978360142,1.7102261214753631,1.9718142335453839,0.638,-0.579
114,House,14854,"ROGERS, Harold Dallas (Hal)",200,0.9333525362062075,0.9337772093525977,0.05689568146427468,0.8227015551900533,1.044007809957605,0.338,0.12
114,House,14863,"SMITH, Christopher Henry",200,0.585393023031683,0.5848906155205051,0.05185383553010649,0.48412978409625623,0.686626450565511,0.17,-0.168
114,House,14873,"HOYER, Steny Hamilton",100,-1.7595852708511037,-1.7585871810734184,0.08048762909430375,-1.9192184533669754,-1.6036160458558066,-0.38,0.119
114,House,15019,"COOPER, James Hayes Shofner",100,-0.8414801684478133,-0.8414401095432082,0.04838943721302984,-0.9374365249939426,-0.7473256421413726,-0.164,-0.033
114,House,15029,"KAPTUR, Marcia Carolyn (Marcy)",100,-1.690320279073321,-1.6878234419262423,0.08387005363728531,-1.8596758590803937,-1.5319290268988726,-0.35,0.108
114,House,15033,"LEVIN, Sander Martin",100,-1.8845104231019345,-1.8841943569516,0.08518782963458336,-2.0559662948968604,-1.7199535859857846,-0.379,-0.091
114,House,15085,"BARTON, Joe Linus",200,1.311681004112902,1.3114016335803849,0.06303472314184343,1.188351342078249,1.4352060457843685,0.528,0.047
114,House,15124,"VISCLOSKY, Peter",100,-1.9665529579552625,-1.9656109787439893,0.09399240492977974,-2.1575294394049513,-1.7862246584324415,-0.402,0.244
114,House,15410,"DeFAZIO, Peter Anthony",100,-1.5164839842666753,-1.515533622822323,0.07480832237757751,-1.6670122704619186,-1.3730353007726444,-0.427,-0.002
114,House,15431,"LEWIS, John R.",100,-2.312100191056214,-2.3130918496674617,0.08935710186109644,-2.4851877916136087,-2.1336856727387534,-0.589,-0.221
114,House,15438,"PRICE, David Eugene",100,-1.8625154018361039,-1.8636756197808972,0.08537131113724288,-2.0302794869096563,-1.6941806490940814,-0.343,-0.03
114,House,15444,"SLAUGHTER, Louise McIntosh",100,-2.0114663744597974,-2.011853155929248,0.08940979503462781,-2.1867671209450386,-1.8356441305814144,-0.465,-0.104
114,House,15445,"SMITH, Lamar Seeligson",200,1.506742931635423,1.506303095891685,0.06441251436122342,1.3828360598816951,1.6334930268110806,0.425,0.061
114,House,15446,"UPTON, Frederick Stephen",200,0.7408525163718677,0.7404440634383657,0.05429650910427497,0.6352869904651209,0.8480115006304343,0.323,-0.36
114,House,15448,"PELOSI, Nancy",100,-2.0175077044459777,-2.0162368961379133,0.087772932791270325,-2.192259759200097,-1.846692139818023,-0.49,-0.205
114,House,15454,"PALLONE, Frank, Jr.",100,-2.1319333528017435,-2.1322569353127268,0.09074654100453043,-2.3093205611755403,-1.9548495998222732,-0.404,-0.169
114,House,15455,"DUNCAN, John J., Jr.",200,1.6466104963749761,1.646238162360489,0.07138575799430831,1.5065506186511193,1.7859960267762274,0.604,-0.476
114,House,15603,"ENGEL, Eliot Lance",100,-1.726660850269928,-1.7237307303441327,0.08667351367127271,-1.9042944434462858,-1.5635094220948371,-0.408,-0.093
114,House,15612,"LOWEY, Nita M.",100,-1.7744058815793835,-1.7739785514049653,0.08189005037203453,-1.9371825240173868,-1.6151209417295045,-0.389,-0.152
114,House,15613,"McDERMOTT, James A.",100,-2.48596754888692,-2.4868824746319502,0.0852113454534355,-2.6495104931646187,-2.316346730268013,-0.666,-0.197
114,House,15616,"NEAL, Richard Edmund",100,-1.8471567474869888,-1.8471008537436648,0.08441579280778919,-2.0153065353943553,-1.6824248381633833,-0.417,-0.105
114,House,15621,"ROHRABACHER, Dana",200,1.600060170362113,1.6003013430489839,0.06777806302925629,1.4667061254000855,1.731917459890912,0.626,-0.417
114,House,15634,"ROS-LEHTINEN, Ileana",200,0.35282031346307047,0.3524140829638622,0.0476613522474796,0.2596253426499763,0.4467714646283577,0.244,-0.225
